T	M
30.450000	0.125000
30.500000	0.027778
30.550000	0.097222
30.600000	0.111111
30.650000	0.055556
30.700000	0.041667
30.750000	0.152778
30.800000	0.111111
30.850000	0.111111
30.900000	0.180556
30.950000	0.125000
31.000000	0.111111
31.050000	-0.013889
31.100000	-0.041667
31.150000	0.000000
31.200000	-0.013889
31.250000	0.083333
31.300000	0.152778
31.350000	0.166667
31.400000	0.013889
31.450000	0.069444
31.500000	0.152778
31.550000	0.166667
31.600000	0.125000
31.650000	0.069444
31.700000	-0.069444
31.750000	0.000000
31.800000	0.000000
31.850000	0.013889
31.900000	0.152778
31.950000	0.111111
32.000000	0.055556
32.050000	0.041667
32.100000	0.055556
32.150000	-0.027778
32.200000	0.069444
32.250000	0.125000
32.300000	-0.013889
32.350000	0.000000
32.400000	0.000000
32.450000	0.055556
32.500000	0.180556
32.550000	0.125000
32.600000	0.083333
32.650000	0.069444
32.700000	0.000000
32.750000	-0.125000
32.800000	-0.208333
32.850000	0.111111
32.900000	0.152778
32.950000	-0.027778
33.000000	-0.097222
33.050000	-0.097222
33.100000	-0.055556
33.150000	-0.055556
33.200000	-0.055556
33.250000	0.013889
33.300000	-0.027778
33.350000	-0.111111
33.400000	-0.097222
33.450000	-0.180556
33.500000	-0.194444
33.550000	-0.013889
33.600000	-0.055556
33.650000	0.152778
33.700000	0.138889
33.750000	-0.013889
33.800000	0.083333
33.850000	0.013889
33.900000	-0.013889
33.950000	-0.069444
34.000000	-0.013889
34.050000	-0.027778
34.100000	0.000000
34.150000	0.152778
34.200000	0.125000
34.250000	0.027778
34.300000	-0.027778
34.350000	0.055556
34.400000	0.097222
34.450000	-0.041667
34.500000	0.000000
34.550000	0.000000
34.600000	0.069444
34.650000	0.097222
34.700000	0.097222
34.750000	0.097222
34.800000	0.013889
34.850000	-0.111111
34.900000	-0.027778
34.950000	0.055556
35.000000	0.069444
35.050000	0.069444
35.100000	0.083333
35.150000	0.111111
35.200000	0.166667
35.250000	0.138889
35.300000	0.027778
35.350000	0.000000
35.400000	0.041667
35.450000	0.097222
35.500000	-0.041667
35.550000	0.083333
35.600000	0.097222
35.650000	-0.055556
35.700000	0.000000
35.750000	0.055556
35.800000	0.097222
35.850000	0.041667
35.900000	-0.055556
35.950000	-0.152778
36.000000	-0.083333
36.050000	-0.111111
36.100000	-0.138889
36.150000	-0.111111
36.200000	-0.083333
36.250000	0.055556
36.300000	0.013889
36.350000	-0.027778
36.400000	0.000000
36.450000	0.055556
36.500000	0.125000
36.550000	0.055556
36.600000	0.208333
36.650000	0.055556
36.700000	0.069444
36.750000	-0.027778
36.800000	0.097222
36.850000	0.041667
36.900000	0.000000
36.950000	0.055556
37.000000	0.069444
37.050000	0.138889
37.100000	0.027778
37.150000	0.166667
37.200000	0.250000
37.250000	0.277778
37.300000	0.236111
37.350000	0.152778
37.400000	-0.013889
37.450000	-0.055556
37.500000	0.013889
37.550000	0.125000
37.600000	0.055556
37.650000	-0.041667
37.700000	-0.138889
37.750000	-0.083333
37.800000	-0.027778
37.850000	0.055556
37.900000	-0.013889
37.950000	0.055556
38.000000	0.069444
38.050000	-0.013889
38.100000	0.027778
38.150000	-0.069444
38.200000	-0.055556
38.250000	-0.041667
38.300000	0.055556
38.350000	0.097222
38.400000	0.138889
38.450000	0.069444
38.500000	0.166667
38.550000	0.013889
38.600000	0.125000
38.650000	0.125000
38.700000	0.111111
38.750000	0.027778
38.800000	-0.013889
38.850000	0.000000
38.900000	0.055556
38.950000	0.041667
39.000000	0.013889
39.050000	0.069444
39.100000	0.027778
39.150000	-0.027778
39.200000	-0.083333
39.250000	-0.097222
39.300000	0.027778
39.350000	0.069444
39.400000	0.083333
39.450000	0.083333
39.500000	-0.027778
39.550000	-0.055556
39.600000	-0.055556
39.650000	-0.180556
39.700000	-0.097222
39.750000	-0.138889
39.800000	-0.055556
39.850000	-0.055556
39.900000	0.041667
39.950000	0.041667
40.000000	0.027778
40.050000	-0.013889
40.100000	-0.055556
40.150000	0.027778
40.200000	0.069444
40.250000	-0.041667
40.300000	0.055556
40.350000	0.125000
40.400000	0.055556
40.450000	0.069444
40.500000	-0.055556
40.550000	-0.166667
40.600000	-0.152778
40.650000	-0.138889
40.700000	0.027778
40.750000	-0.013889
40.800000	-0.013889
40.850000	-0.125000
40.900000	0.000000
40.950000	0.111111
41.000000	0.138889
41.050000	-0.083333
41.100000	0.027778
41.150000	-0.013889
41.200000	-0.138889
41.250000	-0.041667
41.300000	0.055556
41.350000	0.097222
41.400000	0.069444
41.450000	-0.027778
41.500000	-0.027778
41.550000	-0.069444
41.600000	-0.152778
41.650000	-0.027778
41.700000	-0.083333
41.750000	0.027778
41.800000	0.027778
41.850000	-0.027778
41.900000	0.083333
41.950000	0.097222
42.000000	0.138889
42.050000	0.013889
42.100000	0.166667
42.150000	0.041667
42.200000	0.125000
42.250000	0.083333
42.300000	-0.083333
42.350000	-0.027778
42.400000	0.041667
42.450000	0.027778
42.500000	-0.069444
42.550000	-0.069444
42.600000	-0.111111
42.650000	-0.125000
42.700000	-0.180556
42.750000	-0.208333
42.800000	0.000000
42.850000	0.069444
42.900000	0.069444
42.950000	0.069444
43.000000	-0.069444
43.050000	0.083333
43.100000	0.055556
43.150000	-0.055556
43.200000	-0.041667
43.250000	0.111111
43.300000	0.055556
43.350000	-0.027778
43.400000	-0.097222
43.450000	-0.027778
43.500000	-0.111111
43.550000	0.152778
43.600000	0.111111
43.650000	0.013889
43.700000	0.027778
43.750000	0.083333
43.800000	0.097222
43.850000	0.180556
43.900000	0.194444
43.950000	0.083333
44.000000	0.277778
44.050000	0.180556
44.100000	0.097222
44.150000	0.305556
44.200000	0.208333
44.250000	0.222222
44.300000	0.138889
44.350000	0.055556
44.400000	0.041667
44.450000	0.041667
44.500000	0.000000
44.550000	-0.013889
44.600000	0.000000
44.650000	-0.083333
44.700000	0.055556
44.750000	-0.041667
44.800000	-0.069444
44.850000	-0.069444
44.900000	-0.111111
44.950000	-0.055556
45.000000	-0.097222
45.050000	0.013889
45.100000	0.125000
45.150000	0.152778
45.200000	0.166667
45.250000	0.138889
45.300000	0.111111
45.350000	0.097222
45.400000	0.041667
45.450000	0.041667
45.500000	0.138889
45.550000	0.180556
45.600000	0.208333
45.650000	0.166667
45.700000	0.152778
45.750000	0.111111
45.800000	0.069444
45.850000	0.041667
45.900000	-0.013889
45.950000	-0.041667
46.000000	0.083333
46.050000	0.013889
46.100000	0.138889
46.150000	0.069444
46.200000	0.083333
46.250000	-0.069444
46.300000	0.000000
46.350000	0.111111
46.400000	0.263889
46.450000	0.152778
46.500000	0.125000
46.550000	0.125000
46.600000	0.097222
46.650000	-0.055556
46.700000	0.069444
46.750000	0.194444
46.800000	0.250000
46.850000	0.250000
46.900000	0.097222
46.950000	0.083333
47.000000	0.097222
47.050000	0.138889
47.100000	0.013889
47.150000	-0.027778
47.200000	-0.055556
47.250000	0.097222
47.300000	0.055556
47.350000	0.000000
47.400000	-0.013889
47.450000	0.069444
47.500000	0.000000
47.550000	0.027778
47.600000	0.041667
47.650000	0.222222
47.700000	0.097222
47.750000	0.013889
47.800000	0.000000
47.850000	0.069444
47.900000	0.069444
47.950000	0.041667
48.000000	0.125000
48.050000	0.111111
48.100000	0.138889
48.150000	0.097222
48.200000	-0.069444
48.250000	-0.180556
48.300000	-0.236111
48.350000	-0.111111
48.400000	-0.055556
48.450000	0.000000
48.500000	0.000000
48.550000	-0.027778
48.600000	0.138889
48.650000	-0.055556
48.700000	-0.138889
48.750000	-0.083333
48.800000	-0.111111
48.850000	-0.027778
48.900000	0.083333
48.950000	-0.027778
49.000000	-0.027778
49.050000	-0.027778
49.100000	-0.097222
49.150000	-0.125000
49.200000	-0.027778
49.250000	0.027778
49.300000	-0.027778
49.350000	-0.013889
49.400000	-0.069444
49.450000	-0.097222
49.500000	-0.097222
49.550000	-0.013889
49.600000	-0.027778
49.650000	-0.013889
49.700000	0.041667
49.750000	0.194444
49.800000	0.097222
49.850000	0.166667
49.900000	0.152778
49.950000	-0.013889
50.000000	-0.041667
50.050000	0.069444
